N,Iterative,Dynamic Programming,Recursive
1,0.000001,0.000000,0.000000
2,0.000001,0.000000,0.000000
3,0.000001,0.000000,0.000000
4,0.000001,0.000000,0.000001
5,0.000002,0.000000,0.000001
6,0.000002,0.000000,0.000001
7,0.000002,0.000000,0.000002
8,0.000002,0.000000,0.000003
9,0.000002,0.000000,0.000005
10,0.000002,0.000000,0.000008
11,0.000002,0.000000,0.000015
12,0.000003,0.000000,0.000026
13,0.000003,0.000000,0.000057
14,0.000004,0.000000,0.000093
15,0.000005,0.000000,0.000230
16,0.000005,0.000000,0.000369
17,0.000005,0.000000,0.000801
18,0.000005,0.000000,0.001408
19,0.000006,0.000000,0.002939
20,0.000006,0.000000,0.005480
21,0.000007,0.000000,0.013397
22,0.000008,0.000001,0.036294
23,0.000010,0.000001,0.048066
24,0.000007,0.000000,0.127915
25,0.000011,0.000000,0.167670
